,tweet
74,['uhohjoethingsreallyseemtobeunwindingfastnowbidenharristosaveamericabidenharrislandslidebidenharrisbidenjoehidinheelsupharrisharrisbidentrumpcovidtrumptrumplandslidekag']
75,['laptopcomputerabandonedatdelawarerepairshopcontainsemailsbetweenhunterbidenampseniorburismaadviserindicatinghunterarrangedameetingbetweenthenvpjoebidenamptheadviserinwashingtondcinjoebidencallsalidamphideshttpstcoxynqjzbun']
76,['foryearsthehaswantedtodestroysocialsecuritythesttimeinmygenerationthegophasapresidentwillingtogoallthewayabolishtheprogramthathelpsseniorsthisisoneofthereasonsivotedjoebidenfloridavirginianorthcarolinapaohio']
77,['hunterbidenampjoebidenaresobustedemailsreleasedwakeupamericakagtrump']
78,['hoylhttpstcomomdcnhnicecubejoebiden']
79,['fivecentssaysthisgalisnamedkarenandvotingfortrumplolbidenhttpstcosywycmmkca']
80,['twittetandfacebookrunforbidenatpresidentialelectionuselectionjusttoknowareyouasheephttpstcoyukcbdcki']
81,['bidenliedhttpstcolqytbpxkg']
82,['whoisleadingtrumporbaidenfollowthelinktoknowhttpstcokaibbxqarusauspresidentialelectionsuselectionuselectiontrumpcovidtrumpjoebidenuselectiondialogueselectionelectionselectiondaytrump']
83,['bidenforpresidenttrumpfourmoreyearsdonaldtrumpjoebidenelectionhttpstcoiuphtsbr']
84,['notsomuchasthererautomateddigitalforensicprogsthatdothissortofanalysisvyquicklyegencaseampifurjustlookingahighlvlcharacterizationofdriveampfilecontentovertdatakeywordimagesemailampdocparsinghelpswtriaginghighvalueinfobidenhttpstcomumwkbkh']
85,['werenowlivingincommunistchinacanteventweetaboutthenypostsbombshellhunterbidenstoryyoureanabsolutedisgracethisisadirectassaultonourfreedomofspeechhunterbidenemailstwittercensorshipmagatrumphttpstcoeenripye']
86,['httpstcotykbnbstjwbidenhunterbidenhunterbidenemailsbidenharris']
87,['twitterpleasefactcheckthispictureofhunterbidenpassedoutwithacrackpipeinhismouthbidenhunterbidenhttpstcotmpvgltcx']
88,['skipityouhacksarecoveringforjoebidenplainandsimplehunterbidenburismaboys']
89,['vicepresidentbidenisyearsyoungiamwillingtobetthathehasalonglistofthingshedratherfocusonandenjoylifethancleaningupthedeadlymessleftbyspinelessrepublicansanddontheconhisonlymotiveistobuildbackbettervotefordemocracyvote']
90,['iwillstillactasifjoebidenispointsbehindandvoteforhim']
91,['twitteriscensoringallinformationaboutthebidencrimefamilyhunterbidenhunterbidenemailsjoebidenbidensjoebidenissickbidenslaveownersbidenharrisbigmikeobama']
92,['twazissaystheyblockednypostshunterbidenstorycuztheyblockstorieswithstoleninfoletstesttheirtheoryampleftistagendainprotectingbidenwiththestorybythenypostonstolensecretaudiotapesoftrumpliberalprivilegemagahttpstcobwripoqid']
93,['thinkingofwatchingthesteamingpileoftrumptownhallthursdaypleasereconsiderjoebidenhasapreviouslyannouncedtownhallonthesametimethursdayboycottthetrumptownhallonampcnbcwatchabcinsteadboycottmsnbcboycottnbcresistmetoohttpstcodcesljkx']
94,['yourenothelpingbidenlmaoonthecontrary']
95,['wheresjoebidenhidingouthttpstcogwfbaffrcd']
96,['istillcantretweetthisreportonhunterbidenallegedlysellingaccesstohisthenvpdaddybidennotaofhttpstcolezttqoy']
97,['newlyreleasedinfoprovesitbidensarecorrupttothecoretimeforhoetostepdownstepdownjoejoebidenelection']
98,['votewiselyandbywiselyimeanforjoeorelsejoebidenhttpstcoqlhvgonejt']
99,['hunterbidencocainejoebidenkamalaharrisfarreachingimplicationsforvppresidenthttpstcoqhejccluk']
