,tweet
0,['eleccionesenfloridajoebidendicequedonaldtrumpsolosepreocupaporlmismoeldemcratafueanfitrindeencuentrosdeelectoresenpembrokepinesymiramarclicaquhttpstcoqhiwpiuxstelsollatinoyobrilloconelsolhttpstcoflcbwfmi']
1,['hunterbidenhunterbidenemailsjoebidenjoebidenmuststepdownhttpstcoenmxwvepm']
2,['thisishowbidenmadehistrumpisnotamericahttpstcoubqafuip']
3,['watchingandsettingdvrletsgivehimbonusratingsjoebiden']
4,['censorshiphunterbidenbidenbidenemailsbidenemailcorruptionhttpstcocclrtshql']
5,['isthiswrongcorybookersbrilliantfinalquestioningoftrumpnomineeamyconeybarretthttpstcogctvvllcsamyconeybarrettcorybookerbarrettbookertrumpkamalaharrisjoebidenscotussupremecourtconfirmation']
6,['innypostisbeingcensorshipcensoredbytwittertomanipulateauselectioninfavorofjoebidenandagainsttrumpbutccpfromchinaorpornontwitterthatsalwaysbeenfineforkatiesissick']
7,['tellpoliticianstostickitwiththisfreeitemhttpstcosuafpnjtsbidendeomocratelectionpoliticianpoliticspresidentrepublicantrumpvpdebatehttpstcoqtrwemtd']
8,['bidenhttpstcoqmspmuev']
9,['proofbidensarecrookedtwitterwillsuspendmeforsharinghttpstcolubpcbroepbidencrookedbidenukraniancollusiondemocratshunterbidenemails']
10,['nowopencreateafreeuselectionpickempooladdsomeexcitementtothepotentialchaospickwhoyouthinkwillbecomepresidentwhowillwintheswingstatesthepopularvoteandmorehttpstcowfknaxvmtmagatrumpbidenpoliticsuselectionhttpstconwnfizsy']
11,['fbiallegedlyobtainedhunterbidencomputerdataonukrainedealingsreportclaimsjoebidenhunterbidenhttpstcopdnmbnqru']
12,['joebidenwasthepointmanhttpstcodotkamtths']
13,['yalljustlockingupaccountscauseyalldontwantthetruthtocomeoutaboutbidenthatscrazyafhttpstcounvyfevtu']
14,['trumpblmobamavoteredbidenharrisblacklivesmattermikepencedebateskamalaharriskamalaharrisvpbidenriotshunterbiddenaoctrumpilhanomargavinnewsomtedwheelergretchenwhitmergtgtthisisonlythebeginingitsgoingtogetworsehttpstcojcccphwtgy']
15,['icecubeisntasellouthowlongareblackpeoplegoingtovotefordemocratsandtheydonothingforuslookupwhatdemocratsreallymeanitmeanssatanjoebidenadmittedtopedophiliatrumptosaveamericahttpstcouaiiwi']
16,['breakingtwittersafetyaccountprovidesinfoonwhytheyhavetakenactionagainstnypoststoryarticlelinkthatdiscussesjoebidenandhissonhunterbidencensorshipfacebookmagahttpstcofsqcwcr']
17,['commentsonthisdodemocratsunderstandhowruthlesschinaishttpstcoqevkyhschinahunterbidenjoebidenbidenharrisbidenharristrumppencetrumprealdonaldtrumpwtocoronavirustradehttpstcowjmhytfnz']
18,['httpstcokhrzuhsrqihereisjoebidenadmittingtoit']
19,['imgoingtosharethingsilikeaboutbidenmoreyoushouldtoobidencaresbidenchickentrumpkamalaharrishttpstconbtisa']
20,['hunterbidenhunterbidenemailsjoebidenjoebidenmuststepdownhttpstcorrwqu']
21,['inanefforttofindthetruthaboutallegationsthatisntallowingpeopletosharethelinktoaarticleabouthunterbidenthisiswhatpoppedupnyposthunterbidenbidenelectionhttpstcoyyimdzrokz']
22,['twitterisdoingeverythingtheycantohelpdemocratswintheelectionmakingsurenobodyseesanegativestoryaboutbidenonlynegativestoriesontrumptwittercensorshipbidenukrainehunterbidenhttpstcodblkqbmvru']
23,['joebidencallshimalierandtheninsultshimforbeingoverweightbidenshowshislowiqdailymaybejoeshouldholdtownhallsinkindergartenhellbeamongstequalsandnoonewillsayanythingwhenhetakeshisafternoonnaphttpstcomrnhng']
24,['votewiselyandbywiselyimeanforjoeorelsewewillhavetoseeontvforjoebidenhttpstcohbkguodzt']
25,['bidencrimefamilyjoebidenhunterbidenhunterbidenemailshttpstcoottxypj']
26,['voteforjoebidenhttpstcoiirooluo']
27,['trumpistearingupbidenatthetrumprallyoverthehunterbidenemails']
28,['trumpobamaclintonbidenmanwomanpersoncameratvrockpaperscissorshandsfacespacevotejoebidenuselectionuselectionpencevsharrisdrugstesttrumpdrugsbidendrugsinjectdisinfectantpowerfullightthroughtheskinorsomeotherwayhttpstcotbqspgwor']
29,['comeonpleasedotherightthingmovethebidentownhallibetarequirementfororangemonkeytodothenbctownhallwastohaveitoppositebidenpleasemoveyours']
30,['iftheactionsoffacebookandtwitteroverthenewyorkpostexposeonbidenandhissondoesntconvinceyouthatthecorporatemediaismanufacturednewsmicthoughtcontrolbullshitnothingwill']
31,['omghellprobablybewhisperinginbidenseardontfckthisupchinaiscountingonusnotppstoptppnocptppstopcptpphttpstcoeqiatgiwhttpstcoysxowubxhttpstcoqbpljibwft']
32,['godforbidthatbidenshouldgetanythingnocontrolnothingifyouwatchbidenhegetsoutofcontroloneveryslightestquestionshowcanapersonlikehimbeacommanderinchiefoftheunitedstatesofamericahow']
33,['youdontusuallybotherwhythehugeeffortinresponsetothebidenstory']
34,['realdonaldtrumpaddressesjoebidenandhunterbidencorruptionmoreproofofwhichdiscoveredonalaptopobamabidengatenypostmsnbccbsnbcabcfoxnewskamalaharrishttpstcortmodoxgd']
35,['unflatteringdogphotochallengehunterbidencnnbidenchickentrumpamericafirstbachelorettedayfiancebigbrothercoronavirusbidenharrisjoebidenhttpstcomnalzetkmmhttpstcohwvpbbijx']
36,['asimplequestionwhoareyouvotingforelectiondonaldtrumpjoebidenuspolimapoli']
37,['sinceyouarecensoringfreespeechinregardstothejoebidenemailscandaliopenedupaaccountiwouldnthavedoneitwithoutyourmotivationparlercensorshiptwitterconservative']
38,['ohbarfvideoofbidenbraggingaboutwithholdingthemoneytoukraineunlesstheycompliedfactnotyourcrap']
39,['bidenhttpstcowafppbahqx']
40,['blockingpeoplefromtheiraccountbecausehunterbidenintroducedhisdadtotheukrainedudejoebidenhassomeexplainingtodohttpstcownebcyl']
41,['hasthisawokenyoufromyourslumbersyetgettingtothepointwhereevenyoumayhavetofileanegativestoryaboutbidenhttpstcoyyndu']
42,['sincetwitteriscensoringnewsheresthescreenshotcensorshipbidenbidenharrisnyposthttpstcotjvahxe']
43,['amazingwhatyoucandothesedaystimewellspentnotvotemaskupuasfoxnewscnnjoebidentrumpisalaughingstock']
44,['whileyouhavethetarampfeathersoutwhydontyouquestionaboutthequidproquowiththeukrainiansthemediaanddemocratsaresuppressingthestoryandhidingthegovernmentcorruptionbyjoebidendoyousupportcorruptionifnotletstarandfeatherbiden']
45,['twitterlieshereisjoebidenhttpstcokhrzuhsrqi']
46,['hunterbidenemailsdemonstratethecrookedbidenfamilybiden']
47,['twitterhunterbidenbigtechcensorshipbigtechbigtechcoupjoebidenbidenhttpstcovmgtbvektt']
48,['allignoringbidenfamilyshadydealingswithchinabidennypostexposesbidencrimessenatehomelandsecuritycommitteeinvestigatinghunterbidenemailshttpstcoplrggueblrealdonaldtrump']
49,['votewiselyandbywiselyimeanforjoeorelsejoebidenhttpstcozitxbdrmwo']
50,['hunterbidenintroducedhisfatherthenvicepresidentjoebidentoatopexecutiveataukrainianenergyfirmlessthanayearbeforetheelderbidenpressuredgovernmentofficialsinukraineintofiringaprosecutorwhowasinvestigatingthecompanyaccordingtoemails']
51,['iguessbeaubidenwasjustascrookedashisfatherjoebidendemocratpartyiscirclingthedrainamericalovesandbacksyoularrysinclair']
52,['hunterbidenintroducedukrainianbusinessmantovpdadthatisrealtwitterandfacebookliterallyblockeveryfrompostingthisstoryandlinktoitampthisismainstreamnewyorkpostihatetrumpbutcensorshipisneveraprogressbeitfromrightbeitfromleft']
53,['thisisfromthesamenightimetthecastoftwwandiwaswearingthesameshirtasvotevotebluejoebidenlovetrumpshatehttpstcoaesubipbq']
54,['whataloadofcrapfromtwitterattemptingtojustifytheircensorshipofukrainegatearticleespeciallywhentheyactedinstepwithtosuppressthisinformationbothsteppedinbyputtingtheirthumbsonthescaleforbidenampmustpaythepricehttpstcoimodzuuln']
55,['thinkingofwatchingthesteamingpileoftrumptownhallthursdaypleasereconsiderjoebidenhasapreviouslyannouncedtownhallonthesametimeonthursdayboycottampthetrumptownhallwatchabcinsteadboycottmsnbcboycottnbcresistmetoohttpstcoyeznetmgfq']
56,['videofromtherecounttrumpsstupidhistorywithhurricanesjoebidenbidenbluewavetrumpmadeinchinavoteoutracismtrumphoaxedamericavotingformyamericaamericasgreatestmistaketrumphateswomenyeswecantrumpisacompletefailurehttpstcouackikcz']
57,['bidenbidenharrisbidenharrishttpstcoszwfrdov']
58,['bidensupportersarethelikethestormareafokesforthegoodofallamericanshopefullytheycanbefoundandtheytrumppencevotetrumptosaveamericahttpstcoulpcqybc']
59,['trumpisalaughingstockathisiowacultrallycomparedjoebidentoputinxiandkimjonguninthesamesentencehecalledshotandallcommunistleaderssharptrumpisanationaldisgrace']
60,['isjoebidenaliarblockingpeoplewhostatefactsisdishonesthttpstcokhrzuhsrqi']
61,['joebidenyouwillnotbeelectedpresidentbecauseyouarenotoneofus']
62,['bidenbushbombshellshttpstcobsjirqhrwqnastylyingguiltyhunterbidenwowcourtdocumentsexposetheslimethebidensare']
63,['thisisseriousinterferenceandcensorshipinanongoingdemocraticelectiontwitterwhatproofsdoyouhavethatthisishackedmaterialsnewspoliticscensorshipelectionelectionbidentrumphttpstcocyqmayvizu']
64,['bidenlosersxhttpstcoscoetqdik']
65,['andwhatthefisthiswashingtonpostconfirmsthereisanactualvideoofjoebidensayingheliterallydidthistwitteristhednchttpstcogpmsyhmgxf']
66,['somewhereintheshadowshillaryisfiringuphersuicidemachinebidenhunterbidenhunterbidenemails']
67,['thesearebidenpeoplewithbatshttpstcoucaxhvhc']
68,['dearhunterthankyouforinvitingmetodcandgivinganopportunitytomeetyourfatherandspentsicsometimetogetheritsrealtysicanhonorandpleasurevadympozharskyianadvisertotheboardofburismajoebidencorruptionbidenharrishunterbidenhttpstcojuuflyux']
69,['twitterissocorruptweseeyoucorruptionbidenhunterbidenhunterbidenemailshunterscrackpipeobamabidengatefakenews']
70,['whyarentwehavingadslikethisintheusirelandhasanuptickincasesandtheyarentadvocatingmillionppldieusingidioticherdimmunitybiden']
71,['thereasonwhytwitterhaslockedthenewyorkpostaccountisbecausethepostisreportingonexplosivenewrevelationsthatprovejoebidenliedtocoveruphiscorruptandillegalactivityasvicepresidenthttpstcoveaocprtu']
72,['stateoftheraceinsouthcarolinaasofpollingaveragetrumpfromyesterdaybidenfromyesterdaywinprobabiitytrumpfromyesterdaybidensourcefivethirtyeightelectiontwitterelectionbidentrump']
73,['powerfulactorsaretryingtotwistthearmsofamericansintovotingforbidenbutdontseemtounderstandhumanbehaviorforcefullyblindfoldingandleadingvotersawayfromamediastoryaboutbidenonlymakeshimlookreallyreallybadhttpstcoepmglte']
